브랜드,이름,성별,TPO,계절감,향의농도,특성,,,,0,,딥디크,1,,,성별,,,,,
42,파코라반 울트라 바이올렛EDP,남성,포멀,"가을,겨울",무거운,"플로럴,파우더리,스파이시,우디,프레쉬",,,,158,,,,,,,,,,,
43,라이트블루EDT,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,우디,프레쉬,프루티,머스크",,,,159,,,,,,,,,,,
44,알렉산드리아2EDP,중성,포멀,"가을,겨울",무거운,"우디,앰버,파우더리,스파이시,바닐라",,,,160,,,,,,,,,,,
44,낙소스EDP,중성,"캐쥬얼,포멀","봄,가을,겨울",무거운,"바닐라,타바코,라벤더,시트러스,스파이시",,,,161,,,,,,,,,,,
44,아폴로니아EDP,중성,"캐쥬얼,포멀",사계절,중간,"파우더리,머스크,플로럴,얼씨,프레쉬",,,,162,,,,,,,,,,,
44,니오EDP,중성,캐쥬얼,"봄,여름",가벼운,"시트러스,그린,아로마틱,우디,플로럴",,,,163,,,,,,,,,,,
44,에르바퓨라EDP,중성,캐쥬얼,"봄,여름",가벼운,"프루티,시트러스,머스크,파우더리,바닐라",,,,164,,,,,,,,,,,
45,메리미EDT,여성,캐쥬얼,"봄,여름",가벼운,"플로럴,시트러스,프루티,로즈,프레쉬",,,,165,,,,,,,,,,,
45,잔느EDT,여성,캐쥬얼,"봄,여름",가벼운,"프루티,로즈,플로럴,프레쉬,머스크",,,,166,,,,,,,,,,,
46,에어리스EDT,여성,캐쥬얼,"봄,여름",가벼운,"프루티,시트러스,프레쉬,플로럴,부지",,,,167,,,,,,,,,,,
46,데즐EDT,여성,캐쥬얼,"봄,여름",가벼운,"프루티,바닐라,파우더리,너티,부지",,,,168,,,,,,,,,,,
47,리브르EDT,여성,"캐쥬얼,포멀","봄,여름,가을",가벼운,"플로럴,시트러스,머스크,프레쉬,바닐라",,,,169,,,,,,,,,,,
